EmployeeID,Age,BusinessTravel,Department,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Avg_Working_Time,JobInvolvement,PerformanceRating
14,47,Non-Travel,Research & Development,Male,Entry Level,Research Scientist,Married,57620,1.0,11,10.0,4,10,9,9,10.0,Medium,Excellent
15,28,Travel_Rarely,Research & Development,Male,Entry Level,Manufacturing Director,Married,25920,1.0,14,5.0,2,5,0,4,5.0,High,Excellent
16,37,Travel_Rarely,Research & Development,Male,Junior Level,Healthcare Representative,Married,53460,4.0,11,7.0,2,5,0,1,1.75,High,Excellent
17,21,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Single,42130,1.0,12,3.0,3,3,1,0,3.0,Medium,Excellent
18,37,Non-Travel,Research & Development,Male,Junior Level,Sales Executive,Divorced,41270,2.0,13,15.0,2,5,0,2,7.5,High,Excellent
19,35,Travel_Rarely,Sales,Male,Entry Level,Sales Representative,Divorced,24380,7.0,16,10.0,5,7,6,2,1.4285714285714286,Medium,Excellent
20,38,Travel_Rarely,Research & Development,Female,Entry Level,Manager,Divorced,68700,1.0,11,8.0,5,8,7,7,8.0,High,Excellent
21,26,Travel_Frequently,Research & Development,Male,Junior Level,Laboratory Technician,Divorced,104470,1.0,18,6.0,3,6,1,4,6.0,High,Excellent
22,50,Travel_Rarely,Sales,Male,Entry Level,Research Scientist,Divorced,96670,3.0,23,28.0,2,10,1,6,9.333333333333334,Medium,Outstanding
23,53,Travel_Rarely,Research & Development,Female,Junior Level,Research Scientist,Married,21480,3.0,11,21.0,2,5,1,3,7.0,High,Excellent
24,42,Travel_Rarely,Research & Development,Male,Entry Level,Manufacturing Director,Married,89260,1.0,14,15.5,4,20,11,6,15.5,Low,Excellent
25,29,Travel_Frequently,Research & Development,Male,Entry Level,Laboratory Technician,Single,65130,1.0,11,10.0,2,10,0,9,10.0,High,Excellent
26,55,Travel_Rarely,Research & Development,Female,Entry Level,Research Scientist,Married,67990,3.0,11,12.0,2,10,0,8,4.0,High,Excellent
27,26,Travel_Frequently,Research & Development,Female,Entry Level,Manager,Married,162910,1.0,22,5.0,3,5,3,3,5.0,High,Outstanding
28,37,Travel_Rarely,Sales,Male,Entry Level,Research Scientist,Single,27050,1.0,11,17.0,2,17,5,7,17.0,High,Excellent
29,44,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Divorced,103330,3.0,14,19.0,2,1,0,0,6.333333333333333,Medium,Excellent
30,38,Travel_Rarely,Sales,Female,Entry Level,Manager,Divorced,44480,9.0,12,10.0,3,2,1,2,1.1111111111111112,Medium,Excellent
31,26,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Divorced,68540,2.0,11,5.0,5,3,0,2,2.5,Medium,Excellent
32,28,Travel_Rarely,Research & Development,Male,Entry Level,Human Resources,Single,96370,1.0,13,5.0,6,5,0,2,5.0,Medium,Excellent
33,49,Travel_Frequently,Research & Development,Female,Junior Level,Research Scientist,Single,35910,9.0,13,22.0,2,3,1,2,2.4444444444444446,High,Excellent
34,36,Travel_Rarely,Sales,Male,Mid Level,Sales Executive,Single,54050,4.0,14,10.0,2,8,7,7,2.5,High,Excellent
35,31,Travel_Frequently,Research & Development,Male,Entry Level,Sales Executive,Divorced,46840,1.0,16,2.0,4,2,2,2,2.0,High,Excellent
36,26,Travel_Rarely,Research & Development,Male,Junior Level,Manager,Single,157870,1.0,12,8.0,5,8,7,4,8.0,High,Excellent
37,37,Travel_Frequently,Sales,Male,Entry Level,Laboratory Technician,Married,15140,1.0,14,4.0,3,4,1,2,4.0,High,Excellent
38,42,Travel_Frequently,Sales,Male,Mid Level,Research Director,Married,29560,5.0,13,23.0,2,20,4,8,4.6,High,Excellent
39,18,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Single,23350,1.0,14,0.0,3,0,0,0,0.0,Medium,Excellent
40,35,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Married,51540,0.0,19,12.0,2,11,6,9,inf,Medium,Excellent
41,36,Travel_Frequently,Research & Development,Female,Mid Level,Sales Executive,Married,69620,4.0,12,4.0,2,1,0,0,1.0,Medium,Excellent
42,51,Travel_Rarely,Research & Development,Male,Junior Level,Laboratory Technician,Divorced,56750,5.0,13,13.0,2,4,1,2,2.6,Medium,Excellent
43,41,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Single,23790,1.0,12,22.0,6,22,0,4,22.0,High,Excellent
44,18,Travel_Rarely,Sales,Male,Entry Level,Research Scientist,Single,38120,1.0,15,0.0,3,0,0,0,0.0,High,Excellent
45,28,Travel_Rarely,Research & Development,Male,Entry Level,Sales Representative,Single,46480,0.0,23,9.0,2,8,0,7,inf,Medium,Outstanding
46,31,Travel_Rarely,Research & Development,Male,Entry Level,Manufacturing Director,Married,29360,4.0,12,10.0,2,8,7,7,2.5,High,Excellent
47,39,Travel_Rarely,Sales,Female,Junior Level,Human Resources,Divorced,21050,0.0,20,19.0,3,18,3,7,inf,High,Outstanding
48,36,Non-Travel,Research & Development,Male,Entry Level,Sales Executive,Married,85780,7.0,21,11.0,4,9,0,8,1.5714285714285714,High,Outstanding
49,32,Travel_Rarely,Sales,Male,Junior Level,Laboratory Technician,Married,27060,1.0,21,13.0,4,13,4,8,13.0,High,Outstanding
50,38,Travel_Rarely,Research & Development,Female,Mid Level,Research Scientist,Married,63840,3.0,19,19.0,4,10,0,1,6.333333333333333,Medium,Excellent
51,58,Non-Travel,Research & Development,Male,Junior Level,Manufacturing Director,Divorced,39680,2.0,13,12.0,3,5,1,2,6.0,Medium,Excellent
52,31,Travel_Rarely,Research & Development,Female,Mid Level,Research Scientist,Married,99070,0.0,13,6.0,3,5,0,3,inf,Medium,Excellent
53,31,Travel_Rarely,Sales,Male,Junior Level,Sales Executive,Married,132250,3.0,21,9.0,2,2,1,0,3.0,High,Outstanding
54,45,Travel_Frequently,Research & Development,Female,Entry Level,Sales Executive,Divorced,35400,1.0,13,24.0,6,24,9,11,24.0,High,Excellent
55,31,Travel_Rarely,Sales,Female,Junior Level,Research Scientist,Divorced,28040,0.0,19,3.0,0,2,2,2,inf,High,Excellent
56,33,Travel_Frequently,Research & Development,Male,Senior Level,Research Director,Married,193920,6.0,12,12.0,3,10,8,8,2.0,High,Excellent
57,39,Travel_Rarely,Sales,Male,Entry Level,Sales Executive,Married,196650,1.0,22,21.0,6,21,11,10,21.0,High,Outstanding
58,43,Travel_Frequently,Research & Development,Male,Senior Level,Research Scientist,Single,24390,0.0,15,9.0,2,8,1,7,inf,High,Excellent
59,49,Travel_Rarely,Research & Development,Male,Mid Level,Manufacturing Director,Single,73140,7.0,22,25.0,2,7,0,7,3.5714285714285716,High,Outstanding
60,52,Travel_Rarely,Research & Development,Female,Junior Level,Research Scientist,Married,47740,2.0,18,11.0,2,8,7,7,5.5,High,Excellent
61,27,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Single,39020,1.0,22,4.0,2,4,1,2,4.0,High,Outstanding
62,32,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Married,26620,1.0,11,13.0,6,13,11,9,13.0,Very High,Excellent
63,27,Travel_Rarely,Research & Development,Female,Senior Level,Research Director,Single,28560,1.0,12,5.0,5,5,0,4,5.0,Very High,Excellent
64,31,Travel_Rarely,Sales,Male,Junior Level,Healthcare Representative,Divorced,10810,4.0,11,13.0,4,7,1,7,3.25,Very High,Excellent
65,32,Travel_Rarely,Research & Development,Male,Junior Level,Healthcare Representative,Single,24720,7.0,13,10.0,2,7,0,7,1.4285714285714286,High,Excellent
66,28,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Married,56730,5.0,14,5.0,4,3,2,2,1.0,Medium,Excellent
67,30,Travel_Rarely,Research & Development,Female,Senior Level,Research Director,Married,41970,1.0,13,11.0,3,10,1,9,11.0,High,Excellent
68,31,Travel_Frequently,Research & Development,Female,Entry Level,Manager,Married,97130,1.0,17,10.0,5,10,8,9,10.0,Medium,Excellent
69,39,Travel_Frequently,Research & Development,Female,Entry Level,Research Scientist,Married,20620,1.0,13,21.0,4,21,13,3,21.0,High,Excellent
70,39,Travel_Rarely,Research & Development,Female,Entry Level,Laboratory Technician,Married,42840,4.0,17,12.0,0,1,0,0,3.0,High,Excellent
71,33,Travel_Frequently,Sales,Male,Senior Level,Research Scientist,Single,47880,3.0,11,9.0,0,7,0,1,3.0,High,Excellent
72,47,Travel_Rarely,Research & Development,Female,Junior Level,Healthcare Representative,Married,59060,4.0,23,21.0,4,3,1,1,5.25,Very High,Outstanding
73,43,Travel_Frequently,Research & Development,Female,Executive,Research Director,Divorced,38860,1.0,17,9.0,2,9,0,0,9.0,High,Excellent
74,27,Non-Travel,Research & Development,Male,Entry Level,Research Director,Married,168230,0.0,17,6.0,3,5,1,4,inf,High,Excellent
75,54,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Single,29330,3.0,12,20.0,2,4,0,3,6.666666666666667,High,Excellent
76,43,Travel_Rarely,Research & Development,Female,Junior Level,Manager,Married,65000,8.0,23,10.0,3,1,0,0,1.25,High,Outstanding
77,45,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Married,171740,9.0,14,12.0,6,10,9,8,1.3333333333333333,High,Excellent
78,40,Travel_Rarely,Research & Development,Male,Senior Level,Research Scientist,Married,50330,2.0,14,6.0,6,4,0,2,3.0,High,Excellent
79,29,Travel_Rarely,Research & Development,Female,Entry Level,Research Scientist,Married,23070,1.0,13,7.0,0,7,0,7,7.0,High,Excellent
80,29,Travel_Rarely,Human Resources,Male,Mid Level,Sales Representative,Single,25870,0.0,22,4.0,3,3,2,2,inf,High,Outstanding
81,30,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Divorced,55070,1.0,12,10.0,2,10,1,2,10.0,Medium,Excellent
82,27,Travel_Rarely,Research & Development,Male,Entry Level,Manager,Married,43930,1.0,18,8.0,2,8,0,7,8.0,Medium,Excellent
83,37,Travel_Rarely,Sales,Male,Junior Level,Healthcare Representative,Divorced,133480,7.0,14,8.0,4,6,0,4,1.1428571428571428,High,Excellent
84,38,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Divorced,65830,0.0,12,12.0,1,11,2,9,inf,High,Excellent
85,31,Travel_Rarely,Research & Development,Female,Mid Level,Manager,Single,81030,1.0,15,11.0,5,11,4,10,11.0,High,Excellent
86,29,Travel_Rarely,Research & Development,Male,Mid Level,Sales Executive,Divorced,39780,1.0,11,7.0,0,7,1,7,7.0,High,Excellent
87,35,Travel_Rarely,Sales,Male,Mid Level,Manager,Single,25440,0.0,13,17.0,3,16,0,13,inf,Very High,Excellent
88,23,Travel_Rarely,Research & Development,Male,Entry Level,Manufacturing Director,Divorced,53990,1.0,23,4.0,2,4,0,2,4.0,Medium,Outstanding
89,41,Travel_Rarely,Research & Development,Female,Entry Level,Laboratory Technician,Single,54870,6.0,19,8.0,0,5,1,2,1.3333333333333333,High,Excellent
90,47,Travel_Frequently,Sales,Female,Junior Level,Laboratory Technician,Single,68340,3.0,16,5.0,2,0,0,0,1.6666666666666667,Very High,Excellent
91,42,Travel_Rarely,Research & Development,Male,Entry Level,Manager,Single,10910,2.0,22,16.0,0,1,0,0,8.0,Low,Outstanding
92,29,Non-Travel,Sales,Male,Junior Level,Human Resources,Married,57360,1.0,22,4.0,1,4,0,2,4.0,Medium,Outstanding
93,42,Travel_Rarely,Sales,Male,Mid Level,Research Scientist,Divorced,22260,0.0,12,4.0,3,3,1,0,inf,Medium,Excellent
94,32,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Married,57470,1.0,13,8.0,0,8,0,7,8.0,High,Excellent
95,48,Travel_Rarely,Sales,Male,Senior Level,Sales Executive,Married,98540,3.0,16,15.0,2,0,0,0,5.0,Medium,Excellent
96,37,Travel_Rarely,Research & Development,Male,Junior Level,Manufacturing Director,Divorced,54670,4.0,12,13.0,2,7,6,7,3.25,High,Excellent
97,30,Non-Travel,Sales,Male,Entry Level,Healthcare Representative,Married,53800,7.0,21,4.0,0,2,2,2,0.5714285714285714,High,Outstanding
98,26,Travel_Rarely,Sales,Female,Executive,Laboratory Technician,Married,51510,1.0,15,8.0,3,8,7,7,8.0,High,Excellent
99,42,Travel_Rarely,Sales,Female,Entry Level,Laboratory Technician,Single,21330,3.0,13,14.0,2,1,0,0,4.666666666666667,High,Excellent
100,21,Travel_Frequently,Research & Development,Female,Senior Level,Manufacturing Director,Single,178750,1.0,12,3.0,5,3,1,2,3.0,Medium,Excellent
101,36,Non-Travel,Human Resources,Male,Junior Level,Laboratory Technician,Single,24320,4.0,22,7.0,4,1,0,0,1.75,Low,Outstanding
102,36,Travel_Frequently,Research & Development,Female,Junior Level,Research Scientist,Married,47710,4.0,13,16.0,2,13,1,12,4.0,High,Excellent
103,57,Travel_Rarely,Research & Development,Male,Executive,Research Scientist,Married,191610,2.0,18,15.0,2,3,1,2,7.5,Low,Excellent
104,40,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Married,50870,3.0,14,10.0,3,7,1,7,3.3333333333333335,High,Excellent
105,21,Non-Travel,Research & Development,Female,Junior Level,Manager,Single,28630,1.0,14,3.0,2,3,2,2,3.0,Low,Excellent
106,33,Travel_Rarely,Human Resources,Female,Executive,Manager,Single,55610,1.0,21,1.0,3,1,0,0,1.0,Low,Outstanding
107,37,Travel_Rarely,Research & Development,Male,Senior Level,Research Scientist,Married,21440,6.0,19,17.0,3,5,0,3,2.8333333333333335,Very High,Excellent
108,46,Non-Travel,Sales,Female,Junior Level,Laboratory Technician,Married,30650,2.0,11,7.0,3,1,0,0,3.5,High,Excellent
109,41,Travel_Frequently,Research & Development,Female,Entry Level,Research Scientist,Single,28100,1.0,11,8.0,3,8,7,7,8.0,Very High,Excellent
110,50,Travel_Rarely,Research & Development,Female,Mid Level,Laboratory Technician,Single,98880,6.0,15,20.0,2,4,1,3,3.3333333333333335,High,Excellent
111,40,Travel_Rarely,Research & Development,Female,Entry Level,Healthcare Representative,Married,86280,2.0,20,8.0,2,6,1,0,4.0,Medium,Outstanding
112,31,Travel_Rarely,Research & Development,Male,Senior Level,Human Resources,Single,28670,0.0,24,3.0,5,2,2,2,inf,High,Outstanding
113,21,Travel_Rarely,Human Resources,Male,Entry Level,Laboratory Technician,Single,53730,1.0,12,1.0,2,1,0,0,1.0,High,Excellent
114,29,Travel_Rarely,Research & Development,Female,Junior Level,Research Director,Single,66670,9.0,12,6.0,6,3,1,2,0.6666666666666666,Very High,Excellent
115,35,Travel_Rarely,Research & Development,Female,Mid Level,Sales Executive,Single,50030,9.0,15,10.0,2,1,0,0,1.1111111111111112,High,Excellent
116,27,Travel_Rarely,Sales,Male,Entry Level,Sales Executive,Divorced,23670,5.0,12,5.0,2,5,0,4,1.0,High,Excellent
117,28,Travel_Rarely,Research & Development,Male,Mid Level,Manager,Single,28580,1.0,12,7.0,2,7,0,7,7.0,Medium,Excellent
118,49,Travel_Rarely,Sales,Male,Junior Level,Manufacturing Director,Single,52040,8.0,14,26.0,3,5,0,0,3.25,High,Excellent
119,51,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Married,41050,4.0,22,18.0,2,7,0,7,4.5,High,Outstanding
120,36,Travel_Rarely,Sales,Male,Entry Level,Sales Executive,Married,96790,4.0,12,6.0,1,2,2,2,1.5,High,Excellent
121,34,Non-Travel,Research & Development,Male,Entry Level,Sales Representative,Single,56170,8.0,25,9.0,3,5,0,4,1.125,High,Outstanding
122,55,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Single,104480,2.0,13,30.0,3,5,1,2,15.0,High,Excellent
123,24,Travel_Rarely,Research & Development,Female,Executive,Manager,Divorced,28970,1.0,18,5.0,4,5,0,3,5.0,High,Excellent
124,30,Travel_Rarely,Research & Development,Female,Junior Level,Manager,Married,59680,1.0,13,1.0,3,1,0,0,1.0,High,Excellent
125,26,Travel_Frequently,Sales,Male,Junior Level,Manager,Single,75100,0.0,18,7.0,3,6,0,4,inf,High,Excellent
126,22,Travel_Rarely,Research & Development,Male,Entry Level,Research Scientist,Married,29910,1.0,19,2.0,3,2,1,2,2.0,Medium,Excellent
127,36,Travel_Rarely,Research & Development,Female,Executive,Healthcare Representative,Married,196360,1.0,12,10.0,3,10,9,0,10.0,High,Excellent
128,30,Travel_Frequently,Sales,Male,Mid Level,Research Scientist,Single,11290,9.0,19,3.0,2,1,0,0,0.3333333333333333,Medium,Excellent
129,37,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Divorced,133410,1.0,14,18.0,3,18,12,17,18.0,High,Excellent
130,40,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Divorced,43320,7.0,14,8.0,3,5,1,3,1.1428571428571428,Medium,Excellent
131,42,Travel_Rarely,Research & Development,Female,Senior Level,Manager,Divorced,110310,3.0,12,8.0,2,5,1,2,2.6666666666666665,Medium,Excellent
132,37,Travel_Rarely,Sales,Male,Mid Level,Sales Executive,Single,44400,2.0,11,18.0,3,1,0,1,9.0,Medium,Excellent
133,43,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Divorced,46170,1.0,11,25.0,2,25,3,9,25.0,High,Excellent
134,40,Travel_Rarely,Sales,Female,Entry Level,Laboratory Technician,Married,26470,6.0,13,20.0,2,1,0,0,3.3333333333333335,Medium,Excellent
135,54,Travel_Rarely,Human Resources,Female,Junior Level,Manufacturing Director,Married,63230,4.0,23,24.0,2,4,1,2,6.0,Medium,Outstanding
136,34,Non-Travel,Research & Development,Male,Entry Level,Laboratory Technician,Married,56770,9.0,20,6.0,3,3,1,2,0.6666666666666666,High,Outstanding
137,31,Travel_Rarely,Research & Development,Male,Mid Level,Sales Executive,Married,21870,1.0,15,13.0,2,13,3,12,13.0,Medium,Excellent
138,43,Travel_Frequently,Sales,Female,Entry Level,Manufacturing Director,Married,37480,7.0,14,10.5,3,3,1,2,1.5,Medium,Excellent
139,43,Travel_Rarely,Sales,Male,Junior Level,Sales Representative,Divorced,39770,4.0,18,8.0,3,5,0,2,2.0,High,Excellent
140,25,Travel_Rarely,Human Resources,Male,Entry Level,Manufacturing Director,Single,86330,1.0,19,5.0,2,5,1,3,5.0,Very High,Excellent
141,37,Non-Travel,Research & Development,Male,Mid Level,Laboratory Technician,Married,20080,3.0,22,15.0,5,13,10,7,5.0,Medium,Outstanding
142,31,Travel_Rarely,Research & Development,Male,Mid Level,Laboratory Technician,Married,44400,1.0,13,4.0,2,4,3,2,4.0,High,Excellent
143,39,Travel_Frequently,Research & Development,Female,Entry Level,Sales Executive,Divorced,30670,1.0,20,21.0,5,21,1,6,21.0,Low,Outstanding
144,56,Travel_Frequently,Research & Development,Female,Mid Level,Sales Executive,Married,53210,9.0,14,36.0,1,7,7,7,4.0,High,Excellent
145,30,Travel_Rarely,Sales,Female,Junior Level,Manufacturing Director,Single,54100,0.0,17,6.0,2,5,4,4,inf,High,Excellent
146,41,Travel_Rarely,Research & Development,Female,Mid Level,Research Scientist,Married,27820,1.0,14,10.0,2,10,0,7,10.0,Medium,Excellent
147,28,Travel_Rarely,Research & Development,Male,Mid Level,Healthcare Representative,Divorced,119570,1.0,13,10.0,2,10,1,8,10.0,Medium,Excellent
148,25,Travel_Rarely,Research & Development,Female,Mid Level,Laboratory Technician,Married,26600,5.0,13,6.0,3,2,0,2,1.2,High,Excellent
149,52,Travel_Rarely,Research & Development,Female,Junior Level,Sales Representative,Married,33750,2.0,21,28.0,2,5,0,4,14.0,Medium,Outstanding
150,45,Travel_Rarely,Research & Development,Female,Entry Level,Sales Executive,Married,50980,3.0,14,8.0,4,2,0,2,2.6666666666666665,High,Excellent
151,52,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Married,48780,2.0,11,31.0,3,5,1,4,15.5,High,Excellent
152,42,Travel_Frequently,Sales,Female,Junior Level,Healthcare Representative,Divorced,28370,2.0,13,19.0,0,5,0,2,9.5,Medium,Excellent
153,30,Travel_Rarely,Sales,Male,Entry Level,Sales Executive,Single,24060,2.0,20,11.0,5,5,0,2,5.5,High,Outstanding
154,60,Travel_Rarely,Research & Development,Female,Entry Level,Manufacturing Director,Married,22690,5.0,18,33.0,4,29,11,10,6.6,High,Excellent
155,46,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Divorced,41080,2.0,14,19.0,5,10,0,8,9.5,Medium,Excellent
156,42,Travel_Frequently,Research & Development,Male,Senior Level,Sales Executive,Married,132060,0.0,13,7.0,2,6,0,4,inf,High,Excellent
157,24,Travel_Rarely,Research & Development,Male,Entry Level,Research Scientist,Single,104220,1.0,17,6.0,0,5,1,4,6.0,Medium,Excellent
158,34,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Divorced,137440,0.0,20,3.0,3,2,1,0,inf,High,Outstanding
159,38,Travel_Frequently,Sales,Female,Junior Level,Sales Executive,Married,49070,1.0,11,1.0,3,1,0,0,1.0,High,Excellent
160,40,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Married,34820,0.0,18,21.0,2,20,1,12,inf,Medium,Excellent
161,26,Travel_Rarely,Research & Development,Female,Senior Level,Healthcare Representative,Divorced,24360,1.0,24,3.0,2,3,0,2,3.0,Very High,Outstanding
162,30,Non-Travel,Research & Development,Female,Junior Level,Sales Executive,Married,23800,4.0,18,9.0,2,5,1,4,2.25,Medium,Excellent
163,29,Travel_Rarely,Research & Development,Female,Mid Level,Manufacturing Director,Married,194310,1.0,11,10.0,3,10,0,7,10.0,High,Excellent
164,29,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Married,17900,5.0,16,6.0,4,2,1,1,1.2,Medium,Excellent
165,19,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Single,76440,1.0,15,1.0,2,1,0,0,1.0,High,Excellent
166,30,Non-Travel,Research & Development,Female,Mid Level,Research Scientist,Married,51310,0.0,15,10.0,2,9,7,8,inf,High,Excellent
167,57,Travel_Rarely,Research & Development,Male,Senior Level,Research Scientist,Divorced,63060,3.0,12,32.0,3,1,0,0,10.666666666666666,High,Excellent
168,50,Travel_Rarely,Sales,Female,Mid Level,Manager,Married,47870,0.0,12,28.0,3,27,15,7,inf,High,Excellent
169,30,Non-Travel,Sales,Male,Mid Level,Laboratory Technician,Single,188800,0.0,22,12.0,3,11,6,7,inf,High,Outstanding
170,60,Travel_Frequently,Research & Development,Female,Senior Level,Laboratory Technician,Married,23390,4.0,20,22.0,4,18,13,11,5.5,High,Outstanding
171,47,Travel_Rarely,Research & Development,Male,Executive,Manufacturing Director,Divorced,135700,5.0,16,20.0,2,5,0,4,4.0,Medium,Excellent
172,46,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Married,67120,6.0,21,26.0,3,3,0,1,4.333333333333333,Medium,Outstanding
173,35,Travel_Rarely,Research & Development,Female,Junior Level,Laboratory Technician,Single,54060,0.0,12,6.0,2,5,4,3,inf,High,Excellent
174,54,Travel_Rarely,Research & Development,Male,Junior Level,Human Resources,Single,89380,7.0,11,19.0,2,1,0,0,2.7142857142857144,High,Excellent
175,34,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Divorced,24390,3.0,11,14.0,2,7,5,7,4.666666666666667,Very High,Excellent
176,46,Travel_Rarely,Research & Development,Male,Entry Level,Healthcare Representative,Married,88370,2.0,18,15.0,3,3,1,2,7.5,Medium,Excellent
177,31,Travel_Rarely,Research & Development,Male,Junior Level,Research Director,Divorced,53430,1.0,14,13.0,3,13,0,8,13.0,High,Excellent
178,33,Travel_Rarely,Research & Development,Female,Senior Level,Research Director,Married,67280,7.0,22,15.0,2,7,7,7,2.142857142857143,Medium,Outstanding
179,33,Travel_Rarely,Sales,Male,Junior Level,Research Director,Divorced,66520,7.0,25,8.0,5,4,1,3,1.1428571428571428,High,Outstanding
180,30,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Single,48500,0.0,12,4.0,4,3,1,2,inf,High,Excellent
181,35,Travel_Rarely,Research & Development,Female,Junior Level,Sales Representative,Married,28090,4.0,23,10.0,2,8,0,0,2.5,Low,Outstanding
182,31,Travel_Frequently,Research & Development,Female,Junior Level,Sales Executive,Married,56890,3.0,15,12.0,2,1,0,0,4.0,Medium,Excellent
183,34,Travel_Frequently,Sales,Male,Entry Level,Research Director,Divorced,20010,9.0,22,11.0,5,3,0,2,1.2222222222222223,Very High,Outstanding
184,42,Travel_Frequently,Research & Development,Female,Entry Level,Research Scientist,Married,29770,4.0,15,8.0,3,2,2,0,2.0,Medium,Excellent
185,36,Non-Travel,Research & Development,Male,Entry Level,Research Scientist,Single,40250,1.0,11,10.0,3,10,9,7,10.0,High,Excellent
186,22,Travel_Frequently,Research & Development,Female,Junior Level,Laboratory Technician,Single,37850,5.0,13,4.0,2,2,1,2,0.8,High,Excellent
187,48,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Married,108540,2.0,14,14.0,6,9,6,7,7.0,High,Excellent
188,55,Travel_Rarely,Research & Development,Female,Entry Level,Sales Executive,Single,120310,3.0,11,37.0,5,10,7,7,12.333333333333334,High,Excellent
189,41,Non-Travel,Research & Development,Female,Junior Level,Research Scientist,Single,99360,7.0,17,16.0,2,14,1,10,2.2857142857142856,Medium,Excellent
190,35,Travel_Rarely,Research & Development,Female,Entry Level,Sales Representative,Married,29660,9.0,18,15.0,2,11,6,9,1.6666666666666667,Medium,Excellent
