EmployeeID,Age,BusinessTravel,Department,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Avg_Working_Time,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
57,39,Travel_Rarely,Sales,Male,Entry Level,Sales Executive,Married,196650,1.0,22,21.0,6,21,11,10,21.0,High,Low,Better
58,43,Travel_Frequently,Research & Development,Male,Senior Level,Research Scientist,Single,24390,0.0,15,9.0,2,8,1,7,inf,High,Very High,Better
59,49,Travel_Rarely,Research & Development,Male,Mid Level,Manufacturing Director,Single,73140,7.0,22,25.0,2,7,0,7,3.5714285714285716,High,High,Better
60,52,Travel_Rarely,Research & Development,Female,Junior Level,Research Scientist,Married,47740,2.0,18,11.0,2,8,7,7,5.5,High,Medium,Good
61,27,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Single,39020,1.0,22,4.0,2,4,1,2,4.0,High,Medium,Good
62,32,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Married,26620,1.0,11,13.0,6,13,11,9,13.0,High,Medium,Better
63,27,Travel_Rarely,Research & Development,Female,Senior Level,Research Director,Single,28560,1.0,12,5.0,5,5,0,4,5.0,Very High,High,Better
64,31,Travel_Rarely,Sales,Male,Junior Level,Healthcare Representative,Divorced,10810,4.0,11,13.0,4,7,1,7,3.25,Very High,Very High,Better
65,32,Travel_Rarely,Research & Development,Male,Junior Level,Healthcare Representative,Single,24720,7.0,13,10.0,2,7,0,7,1.4285714285714286,Low,Very High,Good
66,28,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Married,56730,5.0,14,5.0,4,3,2,2,1.0,Low,Very High,Good
67,30,Travel_Rarely,Research & Development,Female,Senior Level,Research Director,Married,41970,1.0,13,11.0,3,10,1,9,11.0,Very High,Very High,Better
68,31,Travel_Frequently,Research & Development,Female,Entry Level,Manager,Married,97130,1.0,17,10.0,5,10,8,9,10.0,High,High,Better
69,39,Travel_Frequently,Research & Development,Female,Entry Level,Research Scientist,Married,20620,1.0,13,21.0,4,21,13,3,21.0,High,Very High,Better
70,39,Travel_Rarely,Research & Development,Female,Entry Level,Laboratory Technician,Married,42840,4.0,17,12.0,0,1,0,0,3.0,Very High,High,Good
71,33,Travel_Frequently,Sales,Male,Senior Level,Research Scientist,Single,47880,3.0,11,9.0,0,7,0,1,3.0,Medium,Very High,Good
72,47,Travel_Rarely,Research & Development,Female,Junior Level,Healthcare Representative,Married,59060,4.0,23,21.0,4,3,1,1,5.25,Very High,High,Better
73,43,Travel_Frequently,Research & Development,Female,Executive,Research Director,Divorced,38860,1.0,17,9.0,2,9,0,0,9.0,High,High,Best
74,27,Non-Travel,Research & Development,Male,Entry Level,Research Director,Married,168230,0.0,17,6.0,3,5,1,4,inf,High,Medium,Better
75,54,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Single,29330,3.0,12,20.0,2,4,0,3,6.666666666666667,Very High,High,Good
76,43,Travel_Rarely,Research & Development,Female,Junior Level,Manager,Married,65000,8.0,23,10.0,3,1,0,0,1.25,High,Low,Good
77,45,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Married,171740,9.0,14,12.0,6,10,9,8,1.3333333333333333,Very High,Very High,Better
78,40,Travel_Rarely,Research & Development,Male,Senior Level,Research Scientist,Married,50330,2.0,14,6.0,6,4,0,2,3.0,Medium,Very High,Good
79,29,Travel_Rarely,Research & Development,Female,Entry Level,Research Scientist,Married,23070,1.0,13,7.0,0,7,0,7,7.0,Medium,Low,Good
80,29,Travel_Rarely,Human Resources,Male,Mid Level,Sales Representative,Single,25870,0.0,22,4.0,3,3,2,2,inf,Medium,Very High,Better
81,30,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Divorced,55070,1.0,12,10.0,2,10,1,2,10.0,Very High,High,Better
82,27,Travel_Rarely,Research & Development,Male,Entry Level,Manager,Married,43930,1.0,18,8.0,2,8,0,7,8.0,Medium,Medium,Better
83,37,Travel_Rarely,Sales,Male,Junior Level,Healthcare Representative,Divorced,133480,7.0,14,8.0,4,6,0,4,1.1428571428571428,Very High,Very High,Good
84,38,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Divorced,65830,0.0,12,12.0,1,11,2,9,inf,High,Very High,Better
85,31,Travel_Rarely,Research & Development,Female,Mid Level,Manager,Single,81030,1.0,15,11.0,5,11,4,10,11.0,High,Very High,
86,29,Travel_Rarely,Research & Development,Male,Mid Level,Sales Executive,Divorced,39780,1.0,11,7.0,0,7,1,7,7.0,Very High,Medium,Better
87,35,Travel_Rarely,Sales,Male,Mid Level,Manager,Single,25440,0.0,13,17.0,3,16,0,13,inf,High,Medium,Better
88,23,Travel_Rarely,Research & Development,Male,Entry Level,Manufacturing Director,Divorced,53990,1.0,23,4.0,2,4,0,2,4.0,High,Very High,Good
89,41,Travel_Rarely,Research & Development,Female,Entry Level,Laboratory Technician,Single,54870,6.0,19,8.0,0,5,1,2,1.3333333333333333,Very High,Medium,Better
90,47,Travel_Frequently,Sales,Female,Junior Level,Laboratory Technician,Single,68340,3.0,16,5.0,2,0,0,0,1.6666666666666667,Medium,High,Better
91,42,Travel_Rarely,Research & Development,Male,Entry Level,Manager,Single,10910,2.0,22,16.0,0,1,0,0,8.0,Low,Very High,Better
92,29,Non-Travel,Sales,Male,Junior Level,Human Resources,Married,57360,1.0,22,4.0,1,4,0,2,4.0,Very High,High,Good
93,42,Travel_Rarely,Sales,Male,Mid Level,Research Scientist,Divorced,22260,0.0,12,4.0,3,3,1,0,inf,High,High,Better
94,32,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Married,57470,1.0,13,8.0,0,8,0,7,8.0,High,Medium,Better
95,48,Travel_Rarely,Sales,Male,Senior Level,Sales Executive,Married,98540,3.0,16,15.0,2,0,0,0,5.0,Low,High,Bad
96,37,Travel_Rarely,Research & Development,Male,Junior Level,Manufacturing Director,Divorced,54670,4.0,12,13.0,2,7,6,7,3.25,High,Low,Better
97,30,Non-Travel,Sales,Male,Entry Level,Healthcare Representative,Married,53800,7.0,21,4.0,0,2,2,2,0.5714285714285714,Very High,High,Best
98,26,Travel_Rarely,Sales,Female,Executive,Laboratory Technician,Married,51510,1.0,15,8.0,3,8,7,7,8.0,High,High,Better
99,42,Travel_Rarely,Sales,Female,Entry Level,Laboratory Technician,Single,21330,3.0,13,14.0,2,1,0,0,4.666666666666667,Low,Very High,Better
100,21,Travel_Frequently,Research & Development,Female,Senior Level,Manufacturing Director,Single,178750,1.0,12,3.0,5,3,1,2,3.0,Low,Medium,Better
101,36,Non-Travel,Human Resources,Male,Junior Level,Laboratory Technician,Single,24320,4.0,22,7.0,4,1,0,0,1.75,Very High,Very High,Better
102,36,Travel_Frequently,Research & Development,Female,Junior Level,Research Scientist,Married,47710,4.0,13,16.0,2,13,1,12,4.0,Low,Very High,Better
103,57,Travel_Rarely,Research & Development,Male,Executive,Research Scientist,Married,191610,2.0,18,15.0,2,3,1,2,7.5,Very High,High,Better
104,40,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Married,50870,3.0,14,10.0,3,7,1,7,3.3333333333333335,Very High,High,Better
105,21,Non-Travel,Research & Development,Female,Junior Level,Manager,Single,28630,1.0,14,3.0,2,3,2,2,3.0,Low,Very High,Good
106,33,Travel_Rarely,Human Resources,Female,Executive,Manager,Single,55610,1.0,21,1.0,3,1,0,0,1.0,Very High,High,Better
107,37,Travel_Rarely,Research & Development,Male,Senior Level,Research Scientist,Married,21440,6.0,19,17.0,3,5,0,3,2.8333333333333335,High,Low,Better
108,46,Non-Travel,Sales,Female,Junior Level,Laboratory Technician,Married,30650,2.0,11,7.0,3,1,0,0,3.5,High,High,Best
109,41,Travel_Frequently,Research & Development,Female,Entry Level,Research Scientist,Single,28100,1.0,11,8.0,3,8,7,7,8.0,Low,Medium,Better
110,50,Travel_Rarely,Research & Development,Female,Mid Level,Laboratory Technician,Single,98880,6.0,15,20.0,2,4,1,3,3.3333333333333335,Very High,Very High,Better
111,40,Travel_Rarely,Research & Development,Female,Entry Level,Healthcare Representative,Married,86280,2.0,20,8.0,2,6,1,0,4.0,High,High,Better
112,31,Travel_Rarely,Research & Development,Male,Senior Level,Human Resources,Single,28670,0.0,24,3.0,5,2,2,2,inf,,Medium,Better
113,21,Travel_Rarely,Human Resources,Male,Entry Level,Laboratory Technician,Single,53730,1.0,12,1.0,2,1,0,0,1.0,High,Medium,Better
114,29,Travel_Rarely,Research & Development,Female,Junior Level,Research Director,Single,66670,9.0,12,6.0,6,3,1,2,0.6666666666666666,Very High,Very High,Better
115,35,Travel_Rarely,Research & Development,Female,Mid Level,Sales Executive,Single,50030,9.0,15,10.0,2,1,0,0,1.1111111111111112,High,Medium,Better
116,27,Travel_Rarely,Sales,Male,Entry Level,Sales Executive,Divorced,23670,5.0,12,5.0,2,5,0,4,1.0,Very High,Medium,Better
117,28,Travel_Rarely,Research & Development,Male,Mid Level,Manager,Single,28580,1.0,12,7.0,2,7,0,7,7.0,Medium,Very High,Better
118,49,Travel_Rarely,Sales,Male,Junior Level,Manufacturing Director,Single,52040,8.0,14,26.0,3,5,0,0,3.25,Medium,High,Better
119,51,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Married,41050,4.0,22,18.0,2,7,0,7,4.5,High,Very High,Good
120,36,Travel_Rarely,Sales,Male,Entry Level,Sales Executive,Married,96790,4.0,12,6.0,1,2,2,2,1.5,Very High,High,Better
121,34,Non-Travel,Research & Development,Male,Entry Level,Sales Representative,Single,56170,8.0,25,9.0,3,5,0,4,1.125,Low,Very High,Good
122,55,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Single,104480,2.0,13,30.0,3,5,1,2,15.0,High,Very High,Better
123,24,Travel_Rarely,Research & Development,Female,Executive,Manager,Divorced,28970,1.0,18,5.0,4,5,0,3,5.0,Very High,High,Best
124,30,Travel_Rarely,Research & Development,Female,Junior Level,Manager,Married,59680,1.0,13,1.0,3,1,0,0,1.0,High,Medium,Better
125,26,Travel_Frequently,Sales,Male,Junior Level,Manager,Single,75100,0.0,18,7.0,3,6,0,4,inf,High,,Better
126,22,Travel_Rarely,Research & Development,Male,Entry Level,Research Scientist,Married,29910,1.0,19,2.0,3,2,1,2,2.0,Low,Medium,Better
127,36,Travel_Rarely,Research & Development,Female,Executive,Healthcare Representative,Married,196360,1.0,12,10.0,3,10,9,0,10.0,Medium,High,Better
128,30,Travel_Frequently,Sales,Male,Mid Level,Research Scientist,Single,11290,9.0,19,3.0,2,1,0,0,0.3333333333333333,High,Very High,Better
129,37,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Divorced,133410,1.0,14,18.0,3,18,12,17,18.0,Very High,Low,Good
130,40,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Divorced,43320,7.0,14,8.0,3,5,1,3,1.1428571428571428,Very High,Medium,Better
131,42,Travel_Rarely,Research & Development,Female,Senior Level,Manager,Divorced,110310,3.0,12,8.0,2,5,1,2,2.6666666666666665,Medium,Low,Better
132,37,Travel_Rarely,Sales,Male,Mid Level,Sales Executive,Single,44400,2.0,11,18.0,3,1,0,1,9.0,High,Medium,Good
133,43,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Divorced,46170,1.0,11,25.0,2,25,3,9,25.0,Low,Medium,Better
134,40,Travel_Rarely,Sales,Female,Entry Level,Laboratory Technician,Married,26470,6.0,13,20.0,2,1,0,0,3.3333333333333335,Medium,High,Better
135,54,Travel_Rarely,Human Resources,Female,Junior Level,Manufacturing Director,Married,63230,4.0,23,24.0,2,4,1,2,6.0,Low,Low,Good
136,34,Non-Travel,Research & Development,Male,Entry Level,Laboratory Technician,Married,56770,9.0,20,6.0,3,3,1,2,0.6666666666666666,High,High,Better
137,31,Travel_Rarely,Research & Development,Male,Mid Level,Sales Executive,Married,21870,1.0,15,13.0,2,13,3,12,13.0,Medium,Low,Bad
138,43,Travel_Frequently,Sales,Female,Entry Level,Manufacturing Director,Married,37480,7.0,14,10.5,3,3,1,2,1.5,Very High,Very High,Better
139,43,Travel_Rarely,Sales,Male,Junior Level,Sales Representative,Divorced,39770,4.0,18,8.0,3,5,0,2,2.0,High,High,Better
140,25,Travel_Rarely,Human Resources,Male,Entry Level,Manufacturing Director,Single,86330,1.0,19,5.0,2,5,1,3,5.0,Medium,Very High,Better
141,37,Non-Travel,Research & Development,Male,Mid Level,Laboratory Technician,Married,20080,3.0,22,15.0,5,13,10,7,5.0,Medium,High,Better
142,31,Travel_Rarely,Research & Development,Male,Mid Level,Laboratory Technician,Married,44400,1.0,13,4.0,2,4,3,2,4.0,Very High,Low,Better
143,39,Travel_Frequently,Research & Development,Female,Entry Level,Sales Executive,Divorced,30670,1.0,20,21.0,5,21,1,6,21.0,Medium,High,Better
144,56,Travel_Frequently,Research & Development,Female,Mid Level,Sales Executive,Married,53210,9.0,14,36.0,1,7,7,7,4.0,High,Low,Good
145,30,Travel_Rarely,Sales,Female,Junior Level,Manufacturing Director,Single,54100,0.0,17,6.0,2,5,4,4,inf,Medium,High,Better
146,41,Travel_Rarely,Research & Development,Female,Mid Level,Research Scientist,Married,27820,1.0,14,10.0,2,10,0,7,10.0,Medium,Low,Better
147,28,Travel_Rarely,Research & Development,Male,Mid Level,Healthcare Representative,Divorced,119570,1.0,13,10.0,2,10,1,8,10.0,High,Low,Better
148,25,Travel_Rarely,Research & Development,Female,Mid Level,Laboratory Technician,Married,26600,5.0,13,6.0,3,2,0,2,1.2,Low,Low,Better
149,52,Travel_Rarely,Research & Development,Female,Junior Level,Sales Representative,Married,33750,2.0,21,28.0,2,5,0,4,14.0,Very High,High,Better
150,45,Travel_Rarely,Research & Development,Female,Entry Level,Sales Executive,Married,50980,3.0,14,8.0,4,2,0,2,2.6666666666666665,Low,Very High,Good
151,52,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Married,48780,2.0,11,31.0,3,5,1,4,15.5,Very High,Very High,Bad
152,42,Travel_Frequently,Sales,Female,Junior Level,Healthcare Representative,Divorced,28370,2.0,13,19.0,0,5,0,2,9.5,Low,High,Better
153,30,Travel_Rarely,Sales,Male,Entry Level,Sales Executive,Single,24060,2.0,20,11.0,5,5,0,2,5.5,High,Very High,Better
154,60,Travel_Rarely,Research & Development,Female,Entry Level,Manufacturing Director,Married,22690,5.0,18,33.0,4,29,11,10,6.6,Low,Low,Bad
155,46,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Divorced,41080,2.0,14,19.0,5,10,0,8,9.5,High,High,Good
156,42,Travel_Frequently,Research & Development,Male,Senior Level,Sales Executive,Married,132060,0.0,13,7.0,2,6,0,4,inf,Very High,Very High,Best
157,24,Travel_Rarely,Research & Development,Male,Entry Level,Research Scientist,Single,104220,1.0,17,6.0,0,5,1,4,6.0,Low,Medium,Better
158,34,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Divorced,137440,0.0,20,3.0,3,2,1,0,inf,Very High,High,Good
159,38,Travel_Frequently,Sales,Female,Junior Level,Sales Executive,Married,49070,1.0,11,1.0,3,1,0,0,1.0,Very High,Very High,Better
160,40,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Married,34820,0.0,18,21.0,2,20,1,12,inf,High,High,Better
161,26,Travel_Rarely,Research & Development,Female,Senior Level,Healthcare Representative,Divorced,24360,1.0,24,3.0,2,3,0,2,3.0,Low,Very High,Bad
162,30,Non-Travel,Research & Development,Female,Junior Level,Sales Executive,Married,23800,4.0,18,9.0,2,5,1,4,2.25,High,Very High,Bad
163,29,Travel_Rarely,Research & Development,Female,Mid Level,Manufacturing Director,Married,194310,1.0,11,10.0,3,10,0,7,10.0,Medium,High,Better
164,29,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Married,17900,5.0,16,6.0,4,2,1,1,1.2,High,Medium,Best
165,19,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Single,76440,1.0,15,1.0,2,1,0,0,1.0,Low,Very High,Best
166,30,Non-Travel,Research & Development,Female,Mid Level,Research Scientist,Married,51310,0.0,15,10.0,2,9,7,8,inf,High,Low,Better
167,57,Travel_Rarely,Research & Development,Male,Senior Level,Research Scientist,Divorced,63060,3.0,12,32.0,3,1,0,0,10.666666666666666,Low,Very High,Good
168,50,Travel_Rarely,Sales,Female,Mid Level,Manager,Married,47870,0.0,12,28.0,3,27,15,7,inf,Medium,High,Better
169,30,Non-Travel,Sales,Male,Mid Level,Laboratory Technician,Single,188800,0.0,22,12.0,3,11,6,7,inf,High,Very High,Good
170,60,Travel_Frequently,Research & Development,Female,Senior Level,Laboratory Technician,Married,23390,4.0,20,22.0,4,18,13,11,5.5,High,Low,Best
171,47,Travel_Rarely,Research & Development,Male,Executive,Manufacturing Director,Divorced,135700,5.0,16,20.0,2,5,0,4,4.0,Low,Very High,Better
172,46,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Married,67120,6.0,21,26.0,3,3,0,1,4.333333333333333,Low,High,Bad
173,35,Travel_Rarely,Research & Development,Female,Junior Level,Laboratory Technician,Single,54060,0.0,12,6.0,2,5,4,3,inf,Very High,High,Better
174,54,Travel_Rarely,Research & Development,Male,Junior Level,Human Resources,Single,89380,7.0,11,19.0,2,1,0,0,2.7142857142857144,High,High,Better
175,34,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Divorced,24390,3.0,11,14.0,2,7,5,7,4.666666666666667,Very High,High,Better
176,46,Travel_Rarely,Research & Development,Male,Entry Level,Healthcare Representative,Married,88370,2.0,18,15.0,3,3,1,2,7.5,High,Very High,Better
177,31,Travel_Rarely,Research & Development,Male,Junior Level,Research Director,Divorced,53430,1.0,14,13.0,3,13,0,8,13.0,High,Medium,Best
178,33,Travel_Rarely,Research & Development,Female,Senior Level,Research Director,Married,67280,7.0,22,15.0,2,7,7,7,2.142857142857143,Medium,High,Best
179,33,Travel_Rarely,Sales,Male,Junior Level,Research Director,Divorced,66520,7.0,25,8.0,5,4,1,3,1.1428571428571428,Low,Very High,Better
180,30,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Single,48500,0.0,12,4.0,4,3,1,2,inf,Very High,Medium,Better
181,35,Travel_Rarely,Research & Development,Female,Junior Level,Sales Representative,Married,28090,4.0,23,10.0,2,8,0,0,2.5,Very High,High,Better
182,31,Travel_Frequently,Research & Development,Female,Junior Level,Sales Executive,Married,56890,3.0,15,12.0,2,1,0,0,4.0,Low,High,Better
183,34,Travel_Frequently,Sales,Male,Entry Level,Research Director,Divorced,20010,9.0,22,11.0,5,3,0,2,1.2222222222222223,Medium,Low,Better
184,42,Travel_Frequently,Research & Development,Female,Entry Level,Research Scientist,Married,29770,4.0,15,8.0,3,2,2,0,2.0,Medium,High,Better
185,36,Non-Travel,Research & Development,Male,Entry Level,Research Scientist,Single,40250,1.0,11,10.0,3,10,9,7,10.0,Medium,Very High,Good
186,22,Travel_Frequently,Research & Development,Female,Junior Level,Laboratory Technician,Single,37850,5.0,13,4.0,2,2,1,2,0.8,High,High,Better
